range,range_db_start,range_db_end,slice_width_hit_rate_mean,slice_width_hit_rate_std,sampling_interval_hit_rate_mean,sampling_interval_hit_rate_std,modulation_floor_hit_rate_mean,modulation_floor_hit_rate_std,joint_hit_rate_mean,joint_hit_rate_std
low,-10.0,0.0,0.8144,0.008763560920082613,0.8720000000000001,0.020784609690826548,0.676,0.020976176963403002,0.5711999999999999,0.02488372962399323
mid,0.0,10.0,0.992,0.0040000000000000036,0.9975999999999999,0.0021908902300206666,0.9559999999999998,0.016248076809271893,0.9480000000000001,0.016248076809271896
high,10.0,20.0,0.9934545454545454,0.006994685113335034,1.0,0.0,0.9883636363636363,0.007452327829788788,0.9818181818181818,0.012331509060227766
